Day | X | lines | black_ratio | edge_ratio
------------------------------------------
  1 | 1 |     8 | 0.387      | 0.173
  2 | 1 |     3 | 0.326      | 0.139
  3 | 0 |     0 | 0.104      | 0.000
  4 | 1 |     6 | 0.359      | 0.168
  5 | 1 |     5 | 0.355      | 0.162
  6 | 1 |     3 | 0.326      | 0.153
  7 | 0 |     0 | 0.037      | 0.000
  8 | 1 |     2 | 0.324      | 0.154
  9 | 0 |     0 | 0.037      | 0.000
 10 | 0 |     0 | 0.031      | 0.000
 11 | 1 |     4 | 0.326      | 0.154
 12 | 1 |     3 | 0.326      | 0.156
 13 | 0 |     0 | 0.023      | 0.000
 14 | 1 |     2 | 0.345      | 0.145
 15 | 1 |     4 | 0.336      | 0.160
 16 | 1 |     5 | 0.338      | 0.148
 17 | 0 |     0 | 0.017      | 0.000
 18 | 1 |     3 | 0.366      | 0.169
 19 | 0 |     0 | 0.071      | 0.000
 20 | 1 |     2 | 0.332      | 0.114
 21 | 1 |     1 | 0.326      | 0.116
 22 | 0 |     1 | 0.085      | 0.037
 23 | 1 |     4 | 0.398      | 0.137
 24 | 1 |     2 | 0.364      | 0.141
 25 | 1 |     1 | 0.390      | 0.148
 26 | 0 |     0 | 0.087      | 0.000
 27 | 1 |     1 | 0.325      | 0.132
 28 | 0 |     0 | 0.009      | 0.000
 29 | 0 |     0 | 0.013      | 0.000
 30 | 0 |     0 | 0.009      | 0.000
 31 | 0 |     0 | 0.000      | 0.000
 32 | 0 |     0 | 0.000      | 0.000
